team,win_probability
Spain,0.14946
Argentina,0.14482
France,0.08931
Germany,0.07409
Morocco,0.05947
Brazil,0.05666
England,0.05119
Portugal,0.04287
Netherlands,0.04066
Colombia,0.03799
Ecuador,0.03525
Belgium,0.03045
Mexico,0.02229
Norway,0.02081
Japan,0.02022
Switzerland,0.01783
Turkey,0.01512
Croatia,0.01309
Senegal,0.01129
Canada,0.00996
Algeria,0.00859
Austria,0.00794
Uruguay,0.00598
South Korea,0.00582
United States,0.00407
Czechia,0.00403
Paraguay,0.00349
Australia,0.00344
Ivory Coast,0.00316
Scotland,0.00307
Iran,0.00284
DR Congo,0.00101
Egypt,0.00075
Tunisia,0.00048
Sweden,0.00047
Uzbekistan,0.00047
Panama,0.00035
Jordan,0.00028
South Africa,0.00027
Saudi Arabia,0.00025
Haiti,0.00014
Bosnia and Herzegovina,0.0001
New Zealand,7e-05
Iraq,6e-05
Cape Verde,2e-05
Curacao,1e-05
Qatar,1e-05
Ghana,0.0
